controller_type,traffic_profile,EVTT,EVSF,GWSR,CVDI,ICP,total_reward
rule_based,medium,79.0,0,1.0,112.644,0.007547619047619,0.0
dqn,medium,0.0,0,1.0,95.47,0.0056047619047619,7.185379969552335
dqn,medium,0.0,0,1.0,91.522,0.03147604166666615,-4658.780424834519
