time,avg_queue,total_queue,icp,sas,ev_count,ev_speed,gwsr,cvdi
1.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
12.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
13.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.0
14.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
15.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
16.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
17.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
18.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
19.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
20.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
21.0,0.0,0.0,0.0,1.0,1,15.279000000000002,1.0,0.0
22.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.03125
23.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.08823529411764706
24.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.16666666666666666
25.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,0.2564102564102564
26.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.35714285714285715
27.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.4666666666666667
28.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.5833333333333334
29.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.7058823529411765
30.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.8333333333333334
31.0,0.08333333333333333,1.0,0.0004166666666666667,1.0,1,15.279000000000002,1.0,0.9649122807017544
32.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,1.1166666666666667
33.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,1.2857142857142858
34.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,1.4696969696969697
35.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,1.6666666666666667
36.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,1.875
37.0,0.25,3.0,0.00125,1.0,1,15.279000000000002,1.0,2.0657894736842106
38.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,2.2625
39.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,2.4642857142857144
40.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,2.6704545454545454
41.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,2.880434782608696
42.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,3.09375
43.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,3.31
44.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,3.5288461538461537
45.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,3.75
46.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,3.9732142857142856
47.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,4.198275862068965
48.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,4.425
49.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,14.356000000000002,1.0,4.616
50.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,9.856000000000002,1.0,4.8076923076923075
51.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,9.856000000000002,1.0,5.0
52.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,9.856000000000002,1.0,5.192857142857143
53.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,12.856000000000002,1.0,5.386206896551724
54.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,5.58
55.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,5.774193548387097
56.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,5.96875
57.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,6.163636363636364
58.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,6.364705882352941
59.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,6.571428571428571
60.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,6.783333333333333
61.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,6.967741935483871
62.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,7.161458333333333
63.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,7.363636363636363
64.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,7.725
65.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,8.18
66.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,8.655
67.0,0.5,6.0,0.0025,1.0,1,15.279000000000002,1.0,9.15
68.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,9.61
69.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,10.07
70.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,10.5
71.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,10.94
72.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,11.375
73.0,0.4166666666666667,5.0,0.0020833333333333333,1.0,1,15.279000000000002,1.0,11.8
74.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,12.2
75.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,12.495
76.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,12.925
77.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,13.25
78.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,13.55
79.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,13.795
80.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,14.08
81.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,14.22
82.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,14.33
83.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,14.66
84.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,14.835
85.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,15.05
86.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,15.08
87.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,1,15.279000000000002,1.0,15.395
88.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,15.385
89.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,1,15.279000000000002,1.0,15.475
90.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,0,0.0,1.0,15.58
91.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,0,0.0,1.0,15.835
92.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,15.705
93.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,15.875
94.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,16.095
95.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,15.89
96.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,16.1
97.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,0,0.0,1.0,16.07
98.0,0.16666666666666666,2.0,0.0008333333333333334,1.0,0,0.0,1.0,16.015
99.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,16.215
100.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,15.925
101.0,0.3333333333333333,4.0,0.0016666666666666668,1.0,0,0.0,1.0,16.035
